"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I370","2019-07-03 00:00:00","671.000","0.000","0.000","22.500","0.960","934.800","-99.000","22.500","-99.000","-99.000","-99.000","30.000","","22.300",""
"C0S750","2019-07-03 00:00:00","2280.000","293.000","0.800","14.400","1.000","773.700","-99.000","7.000","-99.000","-99.000","-99.000","20.500","","14.000",""
"C0R650","2019-07-03 00:00:00","29.000","87.000","0.500","25.600","0.990","1006.000","-99.000","112.000","-99.000","-99.000","-99.000","31.400","","24.900",""
"C0E740","2019-07-03 00:00:00","27.000","240.000","1.400","28.000","0.810","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","25.300",""
"C0AI20","2019-07-03 00:00:00","25.000","129.000","3.500","26.600","0.930","1003.800","-99.000","6.500","-99.000","-99.000","-99.000","31.700","","26.600",""
"C0E550","2019-07-03 00:00:00","84.000","268.000","2.200","28.200","0.790","997.600","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0X060","2019-07-03 00:00:00","19.000","145.000","2.600","25.300","0.990","1006.900","-99.000","31.500","-99.000","-99.000","-99.000","31.200","","24.900",""
"C0R510","2019-07-03 00:00:00","31.000","109.000","1.100","25.700","0.970","1004.800","-99.000","59.000","-99.000","-99.000","-99.000","31.000","","24.400",""
"C0AC60","2019-07-03 00:00:00","55.000","92.000","0.900","26.400","0.990","1000.700","-99.000","83.000","-99.000","-99.000","-99.000","33.000","","26.200",""
"C0UA70","2019-07-03 00:00:00","547.000","342.000","2.600","23.300","0.990","947.400","-99.000","9.000","-99.000","-99.000","-99.000","25.400","","23.300",""
"C0G740","2019-07-03 00:00:00","24.000","174.000","3.100","25.300","0.950","1005.300","-99.000","5.000","-99.000","-99.000","-99.000","32.300","","25.200",""
"C0F9N0","2019-07-03 00:00:00","75.000","221.000","0.700","29.100","0.730","998.600","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","28.600",""
"C0F9T0","2019-07-03 00:00:00","111.000","208.000","1.600","29.400","0.690","994.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","28.300",""
"C0S710","2019-07-03 00:00:00","382.000","222.000","1.100","24.200","0.890","966.800","-99.000","16.000","-99.000","-99.000","-99.000","27.400","","22.800",""
"C0M680","2019-07-03 00:00:00","37.000","167.000","2.400","25.300","0.960","1005.000","-99.000","9.000","-99.000","-99.000","-99.000","31.900","","25.100",""
"C0X220","2019-07-03 00:00:00","26.000","156.000","3.500","25.000","0.980","1004.200","-99.000","18.500","-99.000","-99.000","-99.000","30.300","","24.500",""
"C0R560","2019-07-03 00:00:00","22.000","120.000","0.600","27.400","-99.000","1005.700","-99.000","58.500","-99.000","-99.000","-99.000","30.200","","24.100",""
"C0F9P0","2019-07-03 00:00:00","26.000","203.000","2.800","29.400","0.760","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","29.000",""
"C0O970","2019-07-03 00:00:00","71.000","102.000","2.500","25.100","1.000","1000.000","-99.000","31.000","-99.000","-99.000","-99.000","30.200","","24.700",""
"C0F0B0","2019-07-03 00:00:00","311.000","253.000","0.500","25.700","0.900","972.800","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","25.100",""
"C0R620","2019-07-03 00:00:00","34.000","193.000","1.900","27.400","0.930","1004.700","-99.000","106.000","-99.000","-99.000","-99.000","28.700","","25.400",""
"C0C660","2019-07-03 00:00:00","176.000","57.000","0.300","26.200","0.890","987.000","-99.000","57.500","-99.000","-99.000","-99.000","32.200","","25.200",""
"C0M740","2019-07-03 00:00:00","15.000","172.000","3.100","25.200","0.980","1005.300","-99.000","13.000","-99.000","-99.000","-99.000","31.400","","25.000",""
"C0K460","2019-07-03 00:00:00","60.000","194.000","6.700","25.500","0.920","1000.100","-99.000","4.000","13.100","187.000","","32.200","","25.400",""
"C0X100","2019-07-03 00:00:00","10.000","141.000","2.400","27.900","0.950","1004.300","-99.000","18.000","-99.000","-99.000","-99.000","30.600","","26.400",""
"C0K560","2019-07-03 00:00:00","117.000","225.000","3.700","25.300","0.920","995.100","-99.000","1.000","-99.000","-99.000","-99.000","33.800","","25.300",""
